IUSA Number,Y2019,Y2020,Y2021
43-038-5717,1,1,1
43-066-5741,1,1,1
43-077-7749,1,1,1
43-077-7874,1,1,1
43-078-0630,1,1,1
43-103-4670,1,1,1
43-103-7691,0,0,1
43-115-1408,1,1,0
43-129-8840,1,1,1
43-129-8851,1,1,1
43-146-9381,1,1,1
43-159-3553,1,1,1
43-159-3640,1,1,1
43-159-6042,1,1,1
43-168-9575,1,1,1
43-169-1981,1,0,0
43-178-9191,1,1,1
43-179-1674,1,1,1
43-191-9556,1,1,1
43-192-0376,1,1,1
43-192-0648,0,1,1
43-201-2139,1,1,1
43-201-2152,1,1,1
43-230-2641,1,1,1
43-230-3310,1,1,0
43-230-3391,1,1,1
43-237-3796,1,1,1
43-237-3911,1,1,1
43-237-6781,1,1,1
43-237-6783,1,1,1
43-247-2664,1,1,1
43-247-4852,1,1,1
43-247-5453,1,1,0
43-259-8792,0,0,1
43-273-5953,1,1,1
43-286-6741,1,1,1
43-286-6752,1,1,1
43-286-6871,1,1,1
43-286-9504,1,1,1
43-286-9544,1,1,1
43-298-2881,1,1,1
43-298-2903,1,1,1
43-298-2969,0,1,1
43-298-5127,1,1,1
43-315-5003,1,1,1
43-316-8981,1,1,1
43-316-9068,1,1,1
43-317-0090,1,1,1
43-317-1041,1,1,1
43-317-3431,1,1,1
43-317-7992,1,1,1
43-317-9585,1,1,1
43-319-4836,1,1,1
43-319-4837,1,1,1
43-320-3917,1,1,1
43-320-3925,1,1,1
43-355-8116,2,2,2
43-355-8233,1,0,0
43-356-1223,1,1,1
43-358-4808,1,1,1
43-385-5860,1,1,1
43-386-0489,0,0,1
43-389-7569,1,1,1
43-390-0234,1,1,1
43-405-3738,1,1,1
43-413-3794,0,1,1
43-413-3868,1,1,1
